第1学期,,,,,,
9,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
13,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
14,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
15,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2020361,电子电路基础C,3,48 | 0 | 0 | 0,光电工程学院,必修
2,A2020770,电磁场与电磁波B,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修
4,A2010650,可编程逻辑器件与应用,2.5,20 | 20 | 0 | 0,通信与信息工程学院,必修
5,A2010562,信号与系统C,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
6,A2010110,电子系统综合设计实训(2),1,0 | 16 | 0 | 0,通信与信息工程学院,必修
7,A2010460,微处理器系统结构与嵌入式系统设计(2),2.5,20 | 20 | 0 | 0,通信与信息工程学院,必修
8,A2010570,信息论基础,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
1,A2021350,电子电路基础B,3.5,40 | 16 | 0 | 0,光电工程学院,必修
2,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修
3,A2010820,无线通信电波传播与天线,3,40 | 8 | 0 | 0,通信与信息工程学院,必修
4,A2010770,通信软件基础B,2,16 | 16 | 0 | 0,通信与信息工程学院,必修
5,A2010530,现代通信网络A,4,64 | 0 | 0 | 0,通信与信息工程学院,必修
6,A2010562,信号与系统C,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
1,A2080010,电装实习,1,0 | 0 | 1.0周 | 0,自动化学院,必修
2,A2010790,通信软件开发与应用(1),3,32 | 16 | 0 | 0,通信与信息工程学院,必修
3,A2010730,数据分析基础,3,32 | 16 | 0 | 0,通信与信息工程学院,必修
4,A2010540,现代通信网络B,2.5,40 | 0 | 0 | 0,通信与信息工程学院,必修
5,A1040090,数据库技术及应用,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
第5学期,,,,,,
1,A1100040,中国近现代史纲要,2,20 | 0 | 0 | 12,马克思主义学院,必修
2,A1050170,日语2,2,32 | 0 | 0 | 0,外国语学院,选修
3,A1050210,法语2,2,32 | 0 | 0 | 0,外国语学院,选修
4,A1050190,德语2,2,32 | 0 | 0 | 0,外国语学院,选修
5,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2010320,射频通信电路,3,48 | 0 | 0 | 0,通信与信息工程学院,必修
2,A2010344,通信原理D,4,64 | 0 | 0 | 0,通信与信息工程学院,必修
3,A2010090,电子系统综合设计与仿真,3.5,32 | 24 | 0 | 0,通信与信息工程学院,必修
4,A2010550,信号处理实验,1,0 | 16 | 0 | 0,通信与信息工程学院,必修
5,A2010750,数字信号处理B,2.5,40 | 0 | 0 | 0,通信与信息工程学院,必修
6,A2010481,无线通信电波传播,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
7,A2010540,现代通信网络B,2.5,40 | 0 | 0 | 0,通信与信息工程学院,选修
8,A2011380,数据网络综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,选修
1,A2010340,通信原理A,5,72 | 8 | 0 | 0,通信与信息工程学院,必修
2,A2010070,电信传输理论与工程,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
3,A2010550,信号处理实验,1,0 | 16 | 0 | 0,通信与信息工程学院,必修
4,A2010750,数字信号处理B,2.5,40 | 0 | 0 | 0,通信与信息工程学院,必修
5,A2011380,数据网络综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修
6,A2011480,工程伦理,2,32 | 0 | 0 | 0,通信与信息工程学院,必修
7,A2010431,微波与卫星通信A,3.5,40 | 16 | 0 | 0,通信与信息工程学院,选修
8,A2011110,高级网络协议与技术,4,48 | 16 | 0 | 0,通信与信息工程学院,选修
1,A2010351,通信原理C,4.5,64 | 8 | 0 | 0,通信与信息工程学院,必修
2,A2010040,大数据技术及应用,3,16 | 32 | 0 | 0,通信与信息工程学院,必修
3,A2010800,通信软件开发与应用(2),3,32 | 16 | 0 | 0,通信与信息工程学院,必修
4,A2010830,信息系统分析与设计,3,48 | 0 | 0 | 0,通信与信息工程学院,必修
5,A2011130,创新创业拓展训练(1),4,0 | 64 | 0 | 0,通信与信息工程学院,必修
6,A2010860,通信网络理论,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
7,A2010610,移动通信B,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
第6学期,,,,,,
1,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
2,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2011500,IT科技英语,2,32 | 0 | 0 | 0,通信与信息工程学院,必修
2,A2011410,移动通信综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修
3,A2011020,通信工程规划设计实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,必修
4,A2011360,传输工程综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修
5,A2010612,移动通信A,3.5,56 | 0 | 0 | 0,通信与信息工程学院,必修
6,A2010290,通信前沿技术,0.5,8 | 0 | 0 | 0,通信与信息工程学院,必修
7,A2010390,网络安全技术与应用,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
8,A2010590,移动互联网应用开发(1),2,16 | 16 | 0 | 0,通信与信息工程学院,选修
9,A2010860,通信网络理论,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
10,A2011430,通信系统建模与仿真,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
1,A2011140,创新创业拓展训练(2),4,0 | 64 | 0 | 0,通信与信息工程学院,必修
2,A2010590,移动互联网应用开发(1),2,16 | 16 | 0 | 0,通信与信息工程学院,选修
3,A2010660,数据网络综合实训,2,0 | 32 | 0 | 0,通信与信息工程学院,选修
4,A2011110,高级网络协议与技术,4,48 | 16 | 0 | 0,通信与信息工程学院,选修
5,A2011060,宽带接入网综合实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
6,A2011100,无线网络规划与优化综合实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
7,A2011020,通信工程规划设计实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
8,A2010020,ICT产品创新设计与运营,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
9,A2010390,网络安全技术与应用,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
10,A2010860,通信网络理论,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
11,A2010610,移动通信B,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
1,A2010620,通信天线技术,2.5,40 | 0 | 0 | 0,通信与信息工程学院,必修
2,A2010420,微波毫米波系统工程,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
3,A2010120,电子系统综合设计实训(3),1,0 | 16 | 0 | 0,通信与信息工程学院,选修
4,A2010230,数字通信系统设计,2.5,16 | 24 | 0 | 0,通信与信息工程学院,选修
5,A2010010,DSP原理与应用A,2.5,20 | 20 | 0 | 0,通信与信息工程学院,选修
6,A2010640,语音信号处理,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
7,A2010720,模式识别与机器学习,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
8,A2010740,数字图像处理B,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
9,A2011400,移动通信C,2.5,40 | 0 | 0 | 0,通信与信息工程学院,选修
10,A2011410,移动通信综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,选修
11,A2011370,光通信系统与网络,2.5,40 | 0 | 0 | 0,通信与信息工程学院,选修
12,A2011360,传输工程综合实训B,1.5,0 | 24 | 0 | 0,通信与信息工程学院,选修
13,A2011460,射频通信电路与天线实训,2.5,0 | 0 | 2.5周 | 0,通信与信息工程学院,选修
第7学期,,,,,,
1,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
2,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
3,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2011150,创新创业拓展训练(3),4,0 | 64 | 0 | 0,通信与信息工程学院,必修
2,A2010600,移动互联网应用开发(2),2,16 | 16 | 0 | 0,通信与信息工程学院,选修
3,A2010630,移动通信综合实训A,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,选修
4,A2010030,传输工程综合实训A,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,选修
5,A2011060,宽带接入网综合实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
6,A2011100,无线网络规划与优化综合实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
7,A2011020,通信工程规划设计实训,1,0 | 0 | 1.0周 | 0,通信与信息工程学院,选修
8,A2010020,ICT产品创新设计与运营,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
9,A2010390,网络安全技术与应用,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
1,A2011490,IT项目管理,3,48 | 0 | 0 | 0,通信与信息工程学院,必修
2,A2110790,量子通信原理,2,32 | 0 | 0 | 0,理学院,选修
3,A2011420,通信工程综合实训,2,0 | 32 | 0 | 0,通信与信息工程学院,选修
4,A2010600,移动互联网应用开发(2),2,16 | 16 | 0 | 0,通信与信息工程学院,选修
5,A2010040,大数据技术及应用,3,16 | 32 | 0 | 0,通信与信息工程学院,选修
6,A2010490,无线网络规划与优化,3,16 | 32 | 0 | 0,通信与信息工程学院,选修
7,A2010510,物联网技术与应用,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
1,A2011390,微波与卫星通信B,3,32 | 16 | 0 | 0,通信与信息工程学院,选修
2,A2010380,统计信号处理基础,2,32 | 0 | 0 | 0,通信与信息工程学院,选修
第8学期,,,,,,
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
3,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
4,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
