,序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
32,33,A200001B,认识实习,1.0,0 | 0 | 1.0周 | 0,经济管理学院,必修,否
33,34,A2032410,电子商务与现代物流学科前沿,1.0,16 | 0 | 0 | 0,经济管理学院,必修,是
34,35,A2032190,市场营销学E,3.0,32 | 16 | 0 | 0,经济管理学院,必修,否
35,36,A2031040,会计学,3.0,48 | 0 | 0 | 0,经济管理学院,必修,否
36,37,A2032090,面向现代企业制度的管理伦理,0.5,8 | 0 | 0 | 0,经济管理学院,必修,否
37,38,A2032050,管理学E,3.0,32 | 16 | 0 | 0,经济管理学院,必修,否
38,39,A2032060,会计学模拟实践,1.0,0 | 0 | 1.0周 | 0,经济管理学院,必修,否
39,40,A2032160,微观经济学E,3.0,32 | 16 | 0 | 0,经济管理学院,必修,否
40,41,A2032050,管理学E,3.0,32 | 16 | 0 | 0,经济管理学院,选修,否
41,42,A2032300,创业案例分析,1.0,16 | 0 | 0 | 0,经济管理学院,必修,否
42,43,A1040030,大学计算机应用实践,1.0,0 | 0 | 1.0周 | 0,计算机科学与技术学院,必修,否
43,44,A2040190,C语言程序设计,4.0,48 | 16 | 0 | 0,计算机科学与技术学院,必修,是
44,45,A1050110,英语国家社会与文化,2.0,32 | 0 | 0 | 0,外国语学院,必修,是
45,46,A2050230,基础英语1,4.0,64 | 0 | 0 | 0,外国语学院,必修,是
46,47,A2050630,英语听力1,2.0,0 | 32 | 0 | 0,外国语学院,必修,否
47,48,A2050580,英语基础阅读,2.0,32 | 0 | 0 | 0,外国语学院,必修,是
48,49,A2050720,英语语音实践,1.0,0 | 16 | 0 | 0,外国语学院,必修,否
49,50,A2050600,英语口语1,2.0,0 | 32 | 0 | 0,外国语学院,必修,否
50,51,A2050780,专业导论1,1.0,16 | 0 | 0 | 0,外国语学院,必修,是
51,52,A2050760,中国文化概论,2.0,32 | 0 | 0 | 0,外国语学院,选修,是
52,53,A2060720,医学化学,4.0,48 | 16 | 0 | 0,生物信息学院,必修,是
53,54,A2060620,生物医学基础,4.0,48 | 16 | 0 | 0,生物信息学院,必修,是
54,55,A2070040,法理学,4.0,64 | 0 | 0 | 0,网络空间安全与信息法学院,必修,是
55,56,A2070291,宪法,3.0,48 | 0 | 0 | 0,网络空间安全与信息法学院,必修,是
56,57,A2070490,中国法制史,2.0,32 | 0 | 0 | 0,网络空间安全与信息法学院,选修,是
57,58,A1040010,大学计算机基础,1.0,16 | 0 | 0 | 0,计算机科学与技术学院,必修,是
58,59,A1110352,工程数学基础(1),3.0,48 | 0 | 0 | 0,理学院,必修,是
59,60,A2140370,工程技术基础(1)(工程图学与计算机绘图),3.0,32 | 16 | 0 | 0,先进制造工程学院,必修,是
60,61,A2081090,控制系统开发技术(1)（工程软件基础）,3.0,32 | 16 | 0 | 0,自动化学院,选修,是
61,62,A2081100,自动化专题讲座(1),0.5,8 | 0 | 0 | 0,自动化学院,选修,是
62,63,A1050010,大学英语(1),4.0,64 | 0 | 0 | 0,外国语学院,必修,是
63,64,A2090290,体育基本理论与体育管理,2.0,32 | 0 | 0 | 0,体育学院,必修,是
64,65,A2090260,社会体育导论,2.0,32 | 0 | 0 | 0,体育学院,必修,是
65,66,A2090160,乒乓球,3.0,48 | 0 | 0 | 0,体育学院,必修,是
66,67,A2090650,足球,3.0,48 | 0 | 0 | 0,体育学院,必修,是
67,68,A2110870,数学分析B1,5.5,88 | 0 | 0 | 0,理学院,必修,否
68,69,A2110370,普通物理学A1,3.5,56 | 0 | 0 | 0,理学院,必修,否
69,70,A2110450,数学分析A1,5.5,88 | 0 | 0 | 0,理学院,必修,是
70,71,A2110130,高等代数（上）,4.0,64 | 0 | 0 | 0,理学院,必修,是
71,72,A2110210,解析几何,3.0,48 | 0 | 0 | 0,理学院,必修,是
72,73,A2121260,中外文学,4.0,64 | 0 | 0 | 0,传媒艺术学院,必修,是
73,74,A2121560,摄影,3.0,24 | 24 | 0 | 0,传媒艺术学院,必修,是
74,75,A2120500,基础写作,2.0,32 | 0 | 0 | 0,传媒艺术学院,必修,是
75,76,A2121061,艺术概论B,2.0,32 | 0 | 0 | 0,传媒艺术学院,必修,是
76,77,A2121180,影视作品分析1,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修,是
77,78,A2120350,电视艺术概论,3.0,48 | 0 | 0 | 0,传媒艺术学院,必修,是
78,79,A2121070,音乐基础,2.0,32 | 0 | 0 | 0,传媒艺术学院,选修,是
79,80,A2120030,PHOTOSHOP辅助设计,4.0,0 | 64 | 0 | 0,传媒艺术学院,必修,否
80,81,A2120730,设计色彩1,2.5,0 | 40 | 0 | 0,传媒艺术学院,必修,否
81,82,A2121390,构成1(艺术设计类专业),3.0,0 | 48 | 0 | 0,传媒艺术学院,必修,否
82,83,A2121510,计算机艺术设计基础,2.0,16 | 16 | 0 | 0,传媒艺术学院,必修,是
83,84,A2120790,设计素描1,3.5,0 | 56 | 0 | 0,传媒艺术学院,必修,否
84,85,A2121000,西方现代美术史,2.0,32 | 0 | 0 | 0,传媒艺术学院,必修,是
85,86,A1100040,中国近现代史纲要,2.0,20 | 0 | 0 | 12,马克思主义学院,必修,是
86,87,A2121300,专业色彩1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修,是
87,88,A2121380,构成,3.0,24 | 24 | 0 | 0,传媒艺术学院,必修,是
88,89,A2121330,专业素描1,2.5,20 | 20 | 0 | 0,传媒艺术学院,必修,是
89,90,A2121060,艺术概论A,3.0,48 | 0 | 0 | 0,传媒艺术学院,必修,是
90,91,A2122030,故事写作,2.0,32 | 0 | 0 | 0,传媒艺术学院,必修,是
91,92,A2130010,编程基础（1）面向过程,4.0,48 | 16 | 0 | 0,软件工程学院,必修,是
92,93,A2130180,软件工程导论,2.0,32 | 0 | 0 | 0,软件工程学院,必修,是
93,94,A2130580,计算机应用能力开放实验,1.0,0 | 16 | 0 | 0,软件工程学院,必修,否
94,95,A2050970,英语视听说1,2.0,32 | 0 | 0 | 0,外国语学院,必修,是
95,96,A2051090,综合英语1,2.0,32 | 0 | 0 | 0,外国语学院,必修,是
96,97,A2051050,英语阅读1,1.0,16 | 0 | 0 | 0,外国语学院,必修,是
97,98,A2050850,日语精读1,4.0,64 | 0 | 0 | 0,外国语学院,必修,是
98,99,A2050890,日语视听说1,2.0,32 | 0 | 0 | 0,外国语学院,必修,是
99,100,A2140070,工程图学,3.0,48 | 0 | 0 | 0,先进制造工程学院,必修,是
100,101,A2150140,英语阅读1,1.0,16 | 0 | 0 | 0,国际学院,必修,否
101,102,A2150100,英语写作1,1.0,16 | 0 | 0 | 0,国际学院,必修,否
102,103,A2150060,英语视听说 1,2.0,32 | 0 | 0 | 0,国际学院,必修,是
103,104,A2010780,通信软件基础实训,1.5,0 | 24 | 0 | 0,通信与信息工程学院,必修,否
104,105,A2150130,英语语音与朗诵,2.0,32 | 0 | 0 | 0,国际学院,选修,否
105,106,A2011200,工程英语,2.0,32 | 0 | 0 | 0,通信与信息工程学院,必修,是
106,107,A2150041,英语听说B,1.0,16 | 0 | 0 | 0,国际学院,必修,是
107,108,A2051090,综合英语1,2.0,32 | 0 | 0 | 0,外国语学院,选修,是
